node_1,node_2,edge,source
Operating Expenses,Patent Applications,"Operating expenses have a negative relationship with patent applications, suggesting that higher operational costs may be associated with fewer patents being filed.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
Ratio of Joint Application,Patent Applications,"The ratio of joint applications is negatively related to patent applications, indicating that cooperative R&D with other companies does not necessarily increase patent applications.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
Marshallian Spillovers,Job Creation,"Negative employment spillovers are found from the same technology sector, suggesting that Marshallian externalities have a negative effect on job creation.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Jacobian Spillovers,Job Creation,"Positive employment spillovers are suggested from more diversified activity, indicating that Jacobian externalities may have a positive effect on job creation, although the findings were weakly statistically significant and did not occur in all countries.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Innovation in Green Energy Technologies,Job Creation,"The advances in green energy technologies create new jobs in other sectors or reduce them, but the net impact on jobs is still debated and not well understood.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Technical Efficiency,Production Efficiency,"Technical efficiency is used to explore production efficiency in terms of jobs and job spillovers from inventions in solar, wind, and energy efficiency.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Firm's Efficiency Score,Technical Efficiency,"The efficiency score measures how close a firm is to the production frontier, indicating its technical efficiency.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
R&D Capital Stock,Firm's Efficiency Score,"The diversity degree between the firms, measured by the R&D capital stock, can affect a firm's efficiency score.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Sales,Production Efficiency,"Sales are used as an output variable in the efficiency process, indicating the productivity of the production.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Number of Employees,Production Efficiency,"The number of employees is used as an input variable in the efficiency process, reflecting the labor component of the production.","The Effect of Marshallian and Jacobian Knowledge Spillovers on Jobs in the Solar, Wind and Energy Efficiency Sector"
Gross Domestic Product (GDP),Hydrogen Production Volume (HPV),"Economic performance, as measured by GDP, has a significant impact on hydrogen production, indicating that a strong economy can drive the development of the hydrogen economy.","The Impact of Economic, Energy, and Environmental Factors on the Development of the Hydrogen Economy"
Population,Hydrogen Production Volume (HPV),"Population size shows a moderate dependency with hydrogen production, suggesting that a larger population may contribute to greater hydrogen production.","The Impact of Economic, Energy, and Environmental Factors on the Development of the Hydrogen Economy"
